## Written with SHAMFI (Copyright (c) J. L. B. Line)
## Git describe: 1b81779
## Git date: Thu Jan 30 14:53:15 2020 +0800
## Git branch: master
SOURCE combined_woden P 0 G 5 S 2 7656
COMPONENT SHAPELET 3.399256 -37.277329
SCOEFF 4.0 27.0 0.000653245200
SCOEFF 4.0 28.0 0.002151010089
SCOEFF 4.0 29.0 0.001133098893
SCOEFF 4.0 30.0 0.000606802279
SCOEFF 4.0 31.0 0.001382357237
SCOEFF 4.0 32.0 0.001831096222
SCOEFF 4.0 33.0 -0.000232788207
SCOEFF 4.0 34.0 0.000844647459
SCOEFF 4.0 35.0 0.000459112411
SCOEFF 4.0 36.0 -0.000066955556
SCOEFF 4.0 37.0 0.000386439972
SCOEFF 4.0 38.0 0.001632698135
SCOEFF 4.0 39.0 -0.001172920107
SCOEFF 4.0 40.0 -0.000655825220
SCOEFF 4.0 41.0 0.000182213138
SCOEFF 4.0 42.0 0.001654318363
SCOEFF 4.0 43.0 0.000748812938
SCOEFF 4.0 44.0 -0.000536860658
SCOEFF 4.0 45.0 -0.001495620958
SCOEFF 4.0 46.0 0.002624576764
SCOEFF 4.0 47.0 0.000082477563
SCOEFF 4.0 48.0 -0.001163062579
SCOEFF 4.0 49.0 0.000420377058
SCOEFF 4.0 50.0 0.001106869075
SCOEFF 4.0 51.0 -0.001058339732
SCOEFF 4.0 52.0 -0.000377957935
SCOEFF 4.0 53.0 -0.000148105117
SCOEFF 4.0 54.0 0.000779200187
SCOEFF 4.0 55.0 0.001405354472
SCOEFF 4.0 56.0 0.000879386802
SCOEFF 4.0 57.0 -0.000354256483
SCOEFF 4.0 58.0 -0.001486977184
SCOEFF 4.0 59.0 -0.000411068606
SCOEFF 4.0 60.0 0.000780990446
SCOEFF 4.0 61.0 0.000549204215
SCOEFF 4.0 62.0 0.001310944555
SCOEFF 4.0 63.0 -0.001873939690
SCOEFF 4.0 64.0 -0.000892001281
SCOEFF 4.0 65.0 0.001487995894
SCOEFF 4.0 66.0 0.000864844657
SCOEFF 4.0 67.0 -0.000904939554
SCOEFF 4.0 68.0 -0.000402412551
SCOEFF 4.0 69.0 0.000181557836
SCOEFF 4.0 70.0 0.000343209160
SCOEFF 4.0 71.0 -0.000375652851
SCOEFF 4.0 72.0 0.000218341723
SCOEFF 4.0 73.0 -0.000620692553
SCOEFF 4.0 74.0 0.000812379046
SCOEFF 4.0 75.0 0.001327015101
SCOEFF 4.0 76.0 -0.000890478320
SCOEFF 4.0 77.0 -0.001525674710
SCOEFF 4.0 78.0 0.000881247755
SCOEFF 4.0 79.0 0.001479195054
SCOEFF 4.0 80.0 -0.001740908741
SCOEFF 4.0 81.0 -0.001304340000
SCOEFF 4.0 82.0 0.002225063489
SCOEFF 5.0 0.0 0.003050832654
SCOEFF 5.0 1.0 0.002881326666
SCOEFF 5.0 2.0 0.002541799157
SCOEFF 5.0 3.0 -0.000333534806
SCOEFF 5.0 4.0 0.001167844122
SCOEFF 5.0 5.0 -0.003353291752
SCOEFF 5.0 6.0 -0.000497458494
SCOEFF 5.0 7.0 -0.000128389697
SCOEFF 5.0 8.0 0.000431440267
SCOEFF 5.0 9.0 -0.000523416510
SCOEFF 5.0 10.0 0.001997670436
SCOEFF 5.0 11.0 -0.001380598775
SCOEFF 5.0 12.0 0.002375321705
SCOEFF 5.0 13.0 -0.002010244016
SCOEFF 5.0 14.0 0.001251440388
SCOEFF 5.0 15.0 0.000048677266
SCOEFF 5.0 16.0 0.000686233539
SCOEFF 5.0 17.0 0.003471903837
SCOEFF 5.0 18.0 -0.001064469045
SCOEFF 5.0 19.0 0.003248855728
SCOEFF 5.0 20.0 -0.001827242206
SCOEFF 5.0 21.0 0.000975983678
SCOEFF 5.0 22.0 -0.003359470003
SCOEFF 5.0 23.0 -0.002762276230
SCOEFF 5.0 24.0 -0.000421225478
SCOEFF 5.0 25.0 0.000375855604
SCOEFF 5.0 26.0 -0.000145183774
SCOEFF 5.0 27.0 0.001820494225
SCOEFF 5.0 28.0 0.001114756905
SCOEFF 5.0 29.0 0.000732340979
SCOEFF 5.0 30.0 -0.000585621495
SCOEFF 5.0 31.0 -0.000823589918
SCOEFF 5.0 32.0 -0.000208081435
SCOEFF 5.0 33.0 -0.000398015923
SCOEFF 5.0 34.0 0.001191127130
SCOEFF 5.0 35.0 0.001740694636
SCOEFF 5.0 36.0 -0.000538722471
SCOEFF 5.0 37.0 -0.001196848106
SCOEFF 5.0 38.0 -0.000499523574
SCOEFF 5.0 39.0 -0.000844457161
SCOEFF 5.0 40.0 0.000822841065
SCOEFF 5.0 41.0 0.001604924590
SCOEFF 5.0 42.0 -0.000941333071
SCOEFF 5.0 43.0 -0.001549270839
